City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Tabou,CI,78.06,overcast clouds,4.42,-7.35,hotêl doufoulougou
5,Trincomalee,LK,82.02,broken clouds,8.57,81.23,Welcombe Hotel
6,Cabo San Lucas,MX,78.01,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
8,Butaritari,KI,82.63,overcast clouds,3.07,172.79,Isles Sunset Lodge
14,Atuona,PF,77.86,light rain,-9.8,-139.03,Villa Enata
15,Jacqueville,CI,80.6,broken clouds,5.21,-4.41,Hotel Le Martin Pecheur
16,Sao Filipe,CV,79.07,light rain,14.9,-24.5,Tortuga B&B
21,Luanda,AO,75.2,scattered clouds,-8.84,13.23,EPIC SANA Luanda
27,Pathein,MM,79.12,overcast clouds,16.78,94.73,Pathein Hotel
31,Isangel,VU,74.44,light rain,-19.55,169.27,Volcano Sea View Tree House
34,Hasaki,JP,79.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
39,Jamestown,US,72.0,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
40,Naze,JP,80.6,clear sky,28.37,129.48,奄美ポートタワーホテル
44,Mahebourg,MU,73.4,broken clouds,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
47,Saint-Philippe,RE,73.4,overcast clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
48,Manta,EC,77.0,overcast clouds,-0.95,-80.73,Balandra Hotel
51,Vaini,TO,73.4,scattered clouds,-21.2,-175.2,Keleti Beach Resort
52,Mvuma,ZW,72.82,few clouds,-19.28,30.53,
60,Pallasovka,RU,70.75,overcast clouds,50.05,46.88,"Hotel ""Natalia"""
61,Kupang,ID,75.07,clear sky,-10.17,123.58,Sylvia Hotel Premier Kupang
63,Bang Sao Thong,TH,84.99,few clouds,13.6,100.83,PAEVA LUXURY RESIDENCE
65,Lorengau,PG,82.96,light rain,-2.02,147.27,Lorengau Harbourside Hotel
77,San Quintin,MX,78.42,clear sky,30.48,-115.95,Old Mill Hotel
81,Kapaa,US,71.01,heavy intensity rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
89,Ribeira Grande,PT,77.0,scattered clouds,38.52,-28.7,Quinta da Meia Eira
90,Khasan,RU,71.22,scattered clouds,42.43,130.64,Krako Motorkár
93,Castro,BR,77.43,clear sky,-24.79,-50.01,CHACARA BAILLY
95,Hithadhoo,MV,78.62,overcast clouds,-0.6,73.08,Scoop Guest House
96,Acapulco,MX,84.2,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
98,Kpalime,TG,78.39,light rain,6.9,0.63,Hotel La Lumiere Kpalimé
100,Hambantota,LK,81.09,overcast clouds,6.12,81.12,Bungalow 63
102,Emba,KZ,81.05,overcast clouds,48.83,58.14,
106,Bandarbeyla,SO,76.26,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
107,Fukue,JP,82.15,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
113,Arrecife,ES,84.2,few clouds,28.96,-13.55,Hotel Lancelot
115,Puyang,CN,72.32,overcast clouds,29.46,119.89,Xianhua Sandalwood Celebrity Hotel
118,Poum,NC,70.86,overcast clouds,-20.23,164.02,Gîte kajeon
119,Shetpe,KZ,79.16,overcast clouds,44.17,52.12,Rtsm Shetpe Analog
120,Matara,LK,79.81,scattered clouds,5.95,80.54,Amaloh Boutique Resort
124,Lagoa,PT,74.39,few clouds,39.05,-27.98,Casa Das Faias
129,Ibaiti,BR,76.69,clear sky,-23.85,-50.19,Hotel Moraes
130,Port Blair,IN,82.27,broken clouds,11.67,92.75,Fortune Resort Bay Island
136,Cortland,US,71.6,broken clouds,42.6,-76.08,Cortland Motel
141,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
142,Angoram,PG,73.53,overcast clouds,-4.06,144.07,
144,Touba,CI,76.06,moderate rain,8.28,-7.68,Hotel de L'Amitié Vraie
155,San Joaquin,VE,84.2,few clouds,10.26,-67.79,"Rancho (Hacienda) ""La Quinta"""
156,Lewiston,US,72.0,clear sky,44.1,-70.21,Hilton Garden Inn Auburn Riverwatch
157,Mumbwa,ZM,75.4,broken clouds,-14.98,27.06,Mumbwa Motel
158,Morondava,MG,75.34,clear sky,-20.28,44.28,La Case Bambou
161,Connersville,US,82.99,light rain,39.64,-85.14,The Lodge at IOI
165,Bambous Virieux,MU,73.4,broken clouds,-20.34,57.76,Casa Tia Villa
172,Albany,US,73.99,overcast clouds,42.6,-73.97,
174,Arraial Do Cabo,BR,77.0,clear sky,-22.97,-42.03,Pousada Porto Praia
175,Itigi,TZ,73.06,clear sky,-5.7,34.48,Hostel San Sebastiano
179,Bombay,IN,78.8,light rain,19.01,72.85,Four Seasons Hotel Mumbai
180,Ambagarh Chauki,IN,73.04,moderate rain,20.78,80.72,Family Dhaba
181,Teguise,ES,84.2,few clouds,29.06,-13.56,B&B La Casona de Nazaret
182,Georgetown,MY,82.4,few clouds,5.41,100.34,Cititel Penang
187,Souillac,MU,73.4,broken clouds,-20.52,57.52,Bils' Villa
189,Dapaong,TG,79.16,light rain,10.86,0.2,Hotel Caroli
190,Dossor,KZ,80.89,overcast clouds,47.53,52.98,"Gostinitsa Orpk ""Nauryz"""
193,Abu Samrah,SY,82.62,clear sky,35.3,37.18,
196,Vila Franca Do Campo,PT,78.8,few clouds,37.72,-25.43,Pestana Bahia Praia
199,Anloga,GH,80.6,few clouds,5.79,0.9,Dey Lodge
204,Saint-Pierre,RE,73.4,overcast clouds,-21.34,55.48,Lindsey Hôtel
206,Hami,CN,71.76,overcast clouds,42.8,93.45,Laoyutang Resort
211,Kropotkin,RU,72.14,broken clouds,45.44,40.58,Hotel Europe Kropotkin
213,Vila Velha,BR,77.0,broken clouds,-20.33,-40.29,Hotel Vitória Palace
226,La Palma,US,78.01,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
227,Bengkulu,ID,76.53,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
228,Panama City,PA,84.2,scattered clouds,8.99,-79.52,Trump International Hotel & Tower Panama
229,El Alto,PE,73.4,few clouds,-4.27,-81.21,Black Marlin Lodge & Restaurant
238,Southbridge,US,75.99,broken clouds,42.08,-72.03,Southbridge Hotel & Conference Center
240,Wanning,CN,80.56,scattered clouds,18.8,110.4,Paradise Hotel
241,Funtua,NG,74.5,light rain,11.52,7.31,Elbintu Restaurant And Motel
247,Victoria,HK,84.0,light rain,22.29,114.16,Mini Hotel Central
248,Grand Gaube,MU,73.0,clear sky,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
250,Bethel,US,80.01,scattered clouds,41.37,-73.41,Courtyard by Marriott Danbury
254,Ternate,ID,79.45,light rain,0.8,127.4,Grand Dafam Bela Ternate
255,Dingle,PH,76.14,overcast clouds,11.0,122.67,Camp Pasica
256,Hobyo,SO,77.27,scattered clouds,5.35,48.53,Osmani Hotel
258,Sola,VU,80.04,overcast clouds,-13.88,167.55,Leumerus Bungalows
261,Ikom,NG,73.53,light rain,5.97,8.71,Reho Farm & Resort
264,Sao Joao Da Barra,BR,80.6,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
268,Ahuimanu,US,78.8,moderate rain,21.44,-157.84,Paradise Bay Resort
270,San Patricio,MX,78.8,broken clouds,19.22,-104.7,Hotel Cabo Blanco
271,Tautira,PF,71.6,few clouds,-17.73,-149.15,Pension Oaoa
272,Broome,US,75.99,scattered clouds,42.25,-75.83,Chenango Valley State Park
281,Palmer,US,79.0,broken clouds,42.16,-72.33,Wedgewood Motel
282,Puerto Escondido,MX,82.4,overcast clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
284,Bogo,PH,80.31,overcast clouds,11.05,124.01,Acrige Apartelle 2 pax Twin @ heart of Bogo City
285,Bud,US,82.4,broken clouds,39.45,-86.18,Madsion Scouts Camp
288,Padang,ID,78.26,broken clouds,-0.95,100.35,Mercure Padang
291,Male,MV,84.2,broken clouds,4.17,73.51,Hotel Octave Maldives
294,Owerri,NG,77.0,light rain,5.48,7.03,Sun City Hotel
295,Kuching,MY,77.0,scattered clouds,1.55,110.33,Hilton Kuching
296,Lazaro Cardenas,MX,81.97,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
297,Maceio,BR,80.6,broken clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
304,Yenagoa,NG,74.52,overcast clouds,4.92,6.26,Amba Hotels Limited
306,Nizhniy Baskunchak,RU,73.47,overcast clouds,48.22,46.83,Arman hotel
307,Shingu,JP,77.0,light rain,33.73,135.98,Shingu UI Hotel
309,Sur,OM,83.35,overcast clouds,22.57,59.53,Sur Plaza Hotel
312,Dzaoudzi,YT,75.2,scattered clouds,-12.79,45.27,Le Rocher
314,Beloha,MG,78.53,overcast clouds,-25.17,45.05,
317,Kavieng,PG,81.81,light rain,-2.57,150.8,Nusa Island Retreat
318,Belmonte,BR,77.0,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
321,Kirakira,SB,79.63,overcast clouds,-10.45,161.92,SanBiz Lodge
323,Quatre Cocos,MU,73.4,broken clouds,-20.21,57.76,Veranda Palmar Beach Hotel
326,Carmen,MX,84.61,scattered clouds,18.63,-91.83,Hotel Lossandes
330,Bentiu,SS,77.07,scattered clouds,9.23,29.83,Mandela hôtel
334,Dasoguz,TM,78.8,clear sky,41.84,59.97,Hotel Erik
335,Ravar,IR,75.36,clear sky,31.27,56.81,computertik
336,Tura,IN,74.3,broken clouds,25.52,90.22,Hotel RIKMAN Continental
337,Marsa Matruh,EG,82.4,clear sky,31.35,27.25,Beau Site
340,Auki,SB,77.72,overcast clouds,-8.77,160.7,Auki Motel
342,Asau,RO,80.6,broken clouds,46.43,26.4,Casa Mika Ciobanus
346,Faanui,PF,76.33,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
347,Monticello,US,73.4,overcast clouds,45.31,-93.79,Super 8 by Wyndham Monticello
348,Acajutla,SV,79.0,scattered clouds,13.59,-89.83,Stop.
351,Santa Elena,EC,73.4,broken clouds,-2.23,-80.85,HOTEL CISNE II
352,Gat,IL,84.0,clear sky,31.61,34.76,רגע בנחת
356,Chicama,PE,73.69,few clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
361,Ati,TD,83.73,broken clouds,13.22,18.34,
362,Kotli Loharan,PK,82.4,smoke,32.59,74.49,Khan House The Hund Family
366,Beohari,IN,73.83,broken clouds,24.05,81.38,Samrat hotel and aman Mobile Showroom
370,Bilecik,TR,84.2,clear sky,40.0,30.17,Namlı Osmanlı Konagi
371,Tiarei,PF,71.6,few clouds,-17.53,-149.33,Le Rocher de Tahiti
372,Paoua,CF,72.28,moderate rain,7.24,16.44,Quartier Paoua Elien
382,Ishigaki,JP,83.59,overcast clouds,24.34,124.16,Hotel Peace Land Ishigakijima
387,Obo,CF,72.39,light rain,5.4,26.49,
388,Son La,VN,72.93,overcast clouds,21.32,103.9,Galaxy Grand Hotel
389,Bandar,ID,75.65,overcast clouds,2.05,99.75,
391,Pochutla,MX,77.0,drizzle,15.74,-96.47,Hotel Posada San Jose
392,Miri,MY,80.6,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
395,Englewood,US,75.99,broken clouds,39.65,-104.99,InTown Suites Extended Stay Denver CO - Englewood
400,Kambia,SL,75.58,moderate rain,9.12,-12.92,Hotel Moriya
401,Mongoumba,CF,73.96,light rain,3.64,18.59,
408,Harper,LR,78.66,overcast clouds,4.38,-7.72,Screensaver
411,Faya,SA,75.2,few clouds,18.39,42.45,مقبرة ال مجمل
412,Fethiye,TR,82.4,clear sky,36.62,29.12,Club & Hotel Letoonia
413,Carmo Do Rio Claro,BR,81.3,clear sky,-20.97,-46.12,Varandas da Montanha Hotel
416,Mitsamiouli,KM,77.0,few clouds,-11.38,43.28,Foyer ADM
417,Seoul,KR,80.6,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
418,Port-Gentil,GA,80.6,broken clouds,-0.72,8.78,Fengshui Residence
420,Kismayo,SO,77.67,few clouds,-0.36,42.55,Agan-Hotel
425,Ryotsu,JP,78.8,broken clouds,38.08,138.43,Sadokamoko Onsen Kohanno Yado Yoshidaya
427,Honiara,SB,75.2,broken clouds,-9.43,159.95,Heritage Park Hotel
428,Nouadhibou,MR,84.2,clear sky,20.93,-17.03,El Medina
429,Maridi,SS,70.84,moderate rain,4.92,29.47,
433,Nacala,MZ,73.38,scattered clouds,-14.54,40.67,Nacala Plaza Business Design Hotel
434,Axim,GH,77.77,scattered clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
437,Kimbe,PG,74.03,overcast clouds,-5.55,150.14,Kimbe Bay Hotel
438,Salalah,OM,75.2,light intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
440,Rafaela,AR,75.0,overcast clouds,-31.25,-61.49,Parra Hotel & Suites
443,Lisakovsk,KZ,71.89,broken clouds,52.54,62.49,"Gostinitsa ""Kontinent"""
444,Nanyang,CN,72.37,light rain,32.99,112.53,Wolong Memory Hotel
451,Qingdao,CN,75.99,light rain,36.1,120.37,Holiday Inn Qingdao City Centre
453,Meadow Lake,US,84.2,clear sky,34.8,-106.54,JKL Inc. R.V Park and Storage
454,Mogadishu,SO,77.58,clear sky,2.04,45.34,Hotel Juba
455,Laguna,US,72.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
456,Isabela,PH,78.89,overcast clouds,6.71,121.97,Isawad Resort
458,Denpasar,ID,78.8,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
471,Kloulklubed,PW,77.0,broken clouds,7.04,134.26,Storyboard Beach Resort
473,Bang Saphan,TH,77.5,overcast clouds,11.21,99.51,Ladawan Boutique Hotel
478,Bontang,ID,77.32,few clouds,0.13,117.5,Okra Leaf Guest House Syariah
479,Kiunga,PG,71.73,light rain,-6.12,141.29,Airport Lodge Kiunga
482,Guadalajara,MX,71.01,broken clouds,20.67,-103.33,Hotel Aranzazú
483,Ende,ID,75.13,clear sky,-8.84,121.66,Dwi Putra Hotel - Ende
484,Yibin,CN,77.88,light rain,28.77,104.62,Handsome Guesthouse
486,Goderich,CA,75.99,scattered clouds,43.75,-81.72,Harmony Inn
488,Chadiza,ZM,74.71,broken clouds,-14.07,32.44,Sankhani Lodge
489,Wukari,NG,77.4,overcast clouds,7.85,9.78,Elimtop
490,Xuddur,SO,82.53,scattered clouds,4.12,43.89,Banjanay Hotel
491,Katsuura,JP,84.2,scattered clouds,35.13,140.3,Katsuura Hotel Mikazuki
492,Praia Da Vitoria,PT,80.6,scattered clouds,38.73,-27.07,Hotel Branco I
495,Lavumisa,SZ,80.6,broken clouds,-27.31,31.89,ROADSIDE B&B
497,Ilinskaya,RU,72.37,broken clouds,45.72,40.72,
498,Bandarban,BD,84.2,broken clouds,22.2,92.23,Hotel Plaza
501,Atyrau,KZ,80.6,overcast clouds,47.12,51.88,River Palace Hotel
505,Riverton,US,81.0,clear sky,40.52,-111.94,Ramada by Wyndham Draper
508,Tshikapa,CD,82.8,clear sky,-6.42,20.8,Hôtel Tshia-Muntu de Tshikapa
518,Shenjiamen,CN,79.38,overcast clouds,29.96,122.3,Jinjiang Inn Zhoushan Putuo Shenjiamen
525,Pandan,PH,81.21,overcast clouds,14.05,124.17,Bonifacio Lodge
526,Kasongo-Lunda,CD,83.5,light rain,-6.47,16.82,
528,Namatanai,PG,77.72,overcast clouds,-3.67,152.43,Namatanai Hotel
529,Fremont,US,70.0,haze,37.55,-121.99,Best Western Plus Garden Court Inn
533,Vaitape,PF,77.14,scattered clouds,-16.52,-151.75,Conrad Bora Bora Nui
534,Fomboni,KM,77.27,broken clouds,-12.28,43.74,Auberge les abou
535,Sabang,ID,83.93,light rain,5.89,95.32,Hotel Citra
538,Lamont,US,82.0,clear sky,35.26,-118.91,Kristen's place
539,Damghan,IR,72.05,clear sky,36.17,54.35,خوابگاه اساتيد دانشگاه دامغان
540,Ponta Do Sol,PT,82.4,few clouds,32.67,-17.1,Hotel do Campo
541,Alofi,NU,73.4,overcast clouds,-19.06,-169.92,Taloa Heights
543,Kousseri,CM,79.32,overcast clouds,12.08,15.03,Résidence le Palmier
544,Shubarshi,KZ,80.38,broken clouds,48.59,57.19,
546,Kununurra,AU,78.8,clear sky,-15.77,128.73,Hotel Kununurra
548,Porto Novo,BJ,80.6,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
549,Abengourou,CI,80.01,light rain,6.73,-3.5,Hotel des Princes
550,Mirabad,AF,78.98,clear sky,30.44,61.84,
551,Sambava,MG,72.5,clear sky,-14.27,50.17,Melrose
553,Luganville,VU,77.14,moderate rain,-15.53,167.17,The Espiritu Hotel
554,Faizpur,IN,75.29,overcast clouds,21.17,75.85,तेज श्री ढाबा
555,Batie,BF,79.41,overcast clouds,9.88,-2.92,Auberge SONDAR AFACI
564,Kieta,PG,78.33,overcast clouds,-6.22,155.63,
567,Kulpahar,IN,81.28,scattered clouds,25.32,79.65,Peetambra Marriage Garden
569,Mahuva,IN,80.31,overcast clouds,21.09,71.76,Hotel Blue Diamond.
570,Banikoara,BJ,76.39,moderate rain,11.3,2.44,Hôtel de l'UCom CVPC
575,Rathenow,DE,71.01,overcast clouds,52.61,12.34,Hotel Fürstenhof
576,Manjeshwar,IN,80.6,scattered clouds,12.72,74.89,THE NOUSHA VILLAGE
580,Bama,NG,78.4,moderate rain,11.52,13.69,UN Humanitarian Hub
581,Kabo,CF,74.52,overcast clouds,7.7,18.63,
585,Sanski Most,BA,84.2,scattered clouds,44.77,16.67,Hotel Sanus
589,Sao Jose Da Coroa Grande,BR,80.65,broken clouds,-8.9,-35.15,Crôa Mares Hotel
594,Salitral,PE,83.97,clear sky,-4.86,-80.68,Mosoq Inn Puno
595,Caravelas,BR,78.13,clear sky,-17.71,-39.25,Pousada dos Navegantes
603,Hirara,JP,83.03,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
605,Bubaque,GW,81.12,light rain,11.28,-15.83,Casa Dora
606,Jalingo,NG,76.77,overcast clouds,8.88,11.37,Debright Motel
607,Shimoda,JP,73.99,clear sky,34.67,138.95,Shimoda Tokyu Hotel
610,Manga,BF,80.11,light rain,11.66,-1.07,Auberge Somkieta
611,Lamu,KE,76.3,clear sky,-2.27,40.9,Lamu House
612,Puerto Del Rosario,ES,78.8,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
615,Itupeva,BR,84.2,clear sky,-23.15,-47.06,Itupeva Plaza Hotel
619,Hope,US,82.0,broken clouds,33.67,-93.59,Best Western Hope
620,Kilosa,TZ,77.41,scattered clouds,-6.83,36.98,Happy oil Petrol Steshen
623,Nong Khai,TH,78.76,overcast clouds,17.88,102.74,Nong Khai Resort
624,Yaan,NG,76.41,light rain,7.38,8.57,
627,Kavaratti,IN,82.4,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
629,Eyl,SO,77.5,few clouds,7.98,49.82,Amiin Hotel
631,Butte,US,79.0,clear sky,39.65,-121.57,Lime Saddle Campground
633,Gamba,GA,74.79,overcast clouds,-2.65,10.0,
636,Sapa,PH,82.44,broken clouds,5.15,120.32,
638,Salinopolis,BR,84.06,scattered clouds,-0.61,-47.36,Hotel Salinópolis
642,Payo,ID,74.05,broken clouds,-3.75,103.64,Mess keban agung
649,Maragogi,BR,80.13,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
651,Mathathane,BW,81.82,clear sky,-22.27,28.75,Selepswe Resort
652,Loandjili,CG,74.35,broken clouds,-4.76,11.86,Résidence ARCHANGE
655,Mwene-Ditu,CD,80.85,broken clouds,-7.0,23.45,Hôtel Kamas
657,Guiberoua,CI,78.73,light rain,6.24,-6.17,HOTEL LAGOTCHE
659,Odweyne,SO,82.92,broken clouds,9.41,45.06,Eng Hiirey House
666,Glenwood Springs,US,75.0,overcast clouds,39.55,-107.32,Glenwood Springs Cedar Lodge
667,Wajima,JP,82.04,clear sky,37.4,136.9,Wajiima Onsen Yashio
673,Sijunjung,ID,74.97,broken clouds,-0.69,100.95,Hotel Bukik Gadang
674,Champerico,GT,82.4,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
676,Manado,ID,75.2,few clouds,1.49,124.85,Aryaduta Hotel
679,Kahului,US,77.0,few clouds,20.89,-156.47,Maui Seaside Hotel
682,Tongren,CN,74.97,light rain,27.72,109.19,Fanjing Mountain International Conference Center
686,Raga,SS,74.14,light rain,8.46,25.68,
